pair: close=2026-07-14  T=2026-07-15
quote_sources: IRS has_as_of=True (latest 2026-07-15), Credit has_as_of=False (latest 2026-07-14)
id                                    npv_prev             npv_T           theta             mtm          cash     resid_raw    resid_cash
00002/KRW/260114-270114/2.7     168,170,670.56    157,282,666.81    5,195,498.51   -9,850,625.54  6,232,876.71-6,232,876.7123        0.0000
00000/KRW/260114-270714/2.8     591,136,459.37    569,280,339.38  -14,899,069.50  -19,422,803.91-12,465,753.4212,465,753.4247        0.0000
00000/KRW/260115-310115/3.2  -1,259,575,102.54 -1,219,295,766.34    1,245,640.64   39,033,695.56          0.00        0.0000        0.0000
00003/KRW/260116-270118/2.8     210,709,941.79    193,211,580.24   -2,316,845.32  -15,181,516.23          0.00        0.0000        0.0000
00000/KRW/260122-290122/3.2     484,028,227.36    460,244,231.35     -662,010.77  -23,121,985.24          0.00        0.0000        0.0000
00000/KRW/260126-270126/2.8     -49,115,728.33    -45,454,496.63      496,801.72    3,164,429.98          0.00        0.0000        0.0000
00004/KRW/260127-310127/3.3     619,497,904.00    597,890,735.98     -374,204.44  -21,232,963.58          0.00        0.0000        0.0000
00003/KRW/260129-310129/3.2   1,623,403,512.68  1,569,351,538.01     -988,914.74  -53,063,059.93          0.00        0.0000        0.0000
00000/KRW/260204-270204/2.8      47,075,112.04     43,272,896.47     -493,379.53   -3,308,836.05          0.00        0.0000        0.0000
00000/KRW/260212-290215/3.2    -337,232,410.38   -321,158,136.54      452,050.72   15,622,223.12          0.00        0.0000        0.0000
00000/KRW/260212-280214/3.0    -294,641,161.82   -280,640,248.06      769,546.21   13,231,367.54          0.00        0.0000        0.0000
00000/KRW/260225-270225/2.9     230,237,266.82    212,111,026.06   -2,330,974.37  -15,795,266.39          0.00        0.0000        0.0000
00003/KRW/260226-280228/3.1    -303,168,669.71   -288,577,291.73      781,002.11   13,810,375.87          0.00        0.0000        0.0000
00000/KRW/260303-280303/2.9    -287,057,411.04   -275,163,880.23      720,500.55   11,173,030.27          0.00        0.0000        0.0000
00000/KRW/260306-280306/3.1     -95,839,579.69    -90,867,742.48      269,083.04    4,702,754.18          0.00        0.0000        0.0000
00000/KRW/260309-310310/3.4  -1,017,835,493.48   -976,235,278.90      686,098.51   40,914,116.07          0.00        0.0000        0.0000
00000/KRW/260311-290312/3.3     280,955,329.54    264,650,577.14     -444,881.21  -15,859,871.18          0.00        0.0000        0.0000
00000/KRW/260311-270311/2.9     -89,947,764.33    -82,473,358.66    1,025,728.91    6,448,676.76          0.00        0.0000        0.0000
00001/KRW/260311-270311/2.9     -52,996,521.39    -48,515,820.75      611,428.51    3,869,272.13          0.00        0.0000        0.0000
00000/KRW/260313-290313/3.3   1,358,218,408.14  1,276,651,625.48   -2,204,074.97  -79,362,707.69          0.00        0.0000        0.0000
00000/KRW/170414-270414/1.8     108,128,634.67    106,155,421.87     -509,643.85   -1,463,568.95          0.00        0.0000        0.0000
00000/KRW/181025-281025/2.1     376,104,919.96    368,433,307.88     -477,659.95   -7,193,952.14          0.00        0.0000        0.0000
00002/KRW/230222-280222/3.5     -29,247,414.26    -24,569,749.85      142,662.57    4,535,001.84          0.00        0.0000        0.0000
00002/KRW/230307-280307/3.5      32,170,166.44     27,275,155.85     -164,166.28   -4,730,844.32          0.00        0.0000        0.0000
00000/KRW/230428-260430/3.1               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00001/KRW/230510-280510/3.1    -122,877,990.58   -116,937,232.47      285,881.20    5,654,876.91          0.00        0.0000        0.0000
00000/KRW/230905-260907/3.6     -35,680,014.60    -35,031,277.02      648,737.57            0.00          0.00        0.0000        0.0000
00001/KRW/240411-260413/3.4               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/250307-270308/2.5      41,383,243.56     39,810,899.71     -300,186.00   -1,272,157.84          0.00        0.0000        0.0000
00001/KRW/250307-270308/2.5      41,223,222.25     39,651,535.93     -299,517.77   -1,272,168.54          0.00        0.0000        0.0000
00000/KRW/250619-300619/2.5    -545,942,496.68   -535,813,002.78      411,104.55    9,718,389.35          0.00        0.0000        0.0000
00000/KRW/250728-280728/2.4     566,551,928.59    552,278,831.50     -810,911.90  -13,462,185.19          0.00        0.0000        0.0000
00002/KRW/250826-270826/2.3    -128,806,503.90   -126,023,235.30      429,780.55    2,353,488.05          0.00        0.0000        0.0000
00000/KRW/250829-260831/2.3      30,029,088.72     29,403,474.28     -625,614.44            0.00          0.00        0.0000        0.0000
00000/KRW/250910-270910/2.3     683,883,832.69    669,026,786.13   -2,320,456.85  -12,536,589.71          0.00        0.0000        0.0000
